순번,시도본부,119안전센터명,주소,전화번호,FAX,위도,경도
47,서울특별시,용두119안전센터,서울특별시 동대문구 왕산로 76 (용두동),02-6942-1371,02-2187-8188,37.5778486922352,127.031745691291
48,서울특별시,장안119안전센터,서울특별시 동대문구 장한로 34 (장안동),02-6942-1352,02-2187-8184,37.5637542523416,127.066724569715
49,서울특별시,전농119안전센터,서울특별시 동대문구 황물로 3 (전농동),02-6942-1366,02-2187-8187,37.5763087872444,127.046017913495
50,서울특별시,청량리119안전센터,서울특별시 동대문구 왕산로 299 (청량리동),02-6942-1361,02-2187-8186,37.5871648475754,127.052316985824
51,서울특별시,휘경119안전센터,서울특별시 동대문구 망우로 106 (휘경동),02-6942-1376,02-2187-8189,37.5906585512362,127.0651426879
52,서울특별시,노량진119안전센터,서울특별시 동작구 노량진로 187 (노량진동),02-6913-7881,02-813-5119,37.513669634701,126.946943945314
53,서울특별시,동작119안전센터,서울특별시 동작구 여의대방로16길 55 (신대방동),02-6913-7871,02-847-0900,37.4946721349965,126.91771856513
54,서울특별시,백운119안전센터,서울특별시 동작구 사당로 63 (상도동),02-6913-7895,02-816-0709,37.4948022151833,126.961590416037
55,서울특별시,상도119안전센터,서울특별시 동작구 국사봉1길 17 (상도동),02-6913-7888,02-825-0693,37.4990401585505,126.929474600621
56,서울특별시,공덕119안전센터,서울특별시 마포구 만리재옛길 82 (공덕동),02-3274-0976,02-706-0119,37.5500487475154,126.959767170966
57,서울특별시,상암119안전센터,서울특별시 마포구 월드컵로 42길 34 (상암동),02-309-5119,02-303-4119,37.5799196453182,126.881227717989
58,서울특별시,서교119안전센터,서울특별시 마포구 양화로 60 (서교동),02-3143-2119,02-324-0119,37.5502847053114,126.915543990283
59,서울특별시,성산119안전센터,서울특별시 마포구 월드컵북로 240 (성산동),02-304-0119,02-309-0096,37.5706093453431,126.90305825047
60,서울특별시,신수119안전센터,서울특별시 마포구 창전로 76 (신수동),02-6981-7930,02-3275-2119,37.5493938460342,126.933203247254
61,서울특별시,염리119안전센터,서울특별시 마포구 토정로 37길 27 (염리동),02-713-0965,02-713-0119,37.5417335945556,126.945572683437
62,서울특별시,북가좌119안전센터,서울특별시 서대문구 증가로 242 (북가좌동),02-6981-5539,02-6981-5537,37.5828643962709,126.913003680191
63,서울특별시,북아현119안전센터,서울특별시 서대문구 북아현로 37 (북아현동),02-6981-5559,02-6981-5557,37.5606596163451,126.955739118108
64,서울특별시,연희119안전센터,서울특별시 서대문구 연희로 182 (연희동),02-6981-5520,02-6981-5527,37.57320485877,126.935995916827
65,서울특별시,홍은119안전센터,서울특별시 서대문구 홍은중앙로 83 (홍은동),02-6981-5549,02-6981-5547,37.5987232899088,126.947029460621
66,서울특별시,반포119안전센터,서울특별시 서초구 사평대로 67 (반포동),02-6981-5939,02-599-0119,37.4986689821794,126.991717915502
67,서울특별시,방배119안전센터,서울특별시 서초구 남부순환로 2155 (방배동),02-6981-5970,02-523-9119,37.4755003421939,126.98820996058
68,서울특별시,서초119안전센터,서울특별시 서초구 효령로 400 (서초동),02-6981-5985,02-3486-2729,37.4880317322992,127.027597379495
69,서울특별시,양재119안전센터,서울특별시 서초구 동산로 9 (양재동),02-6981-5980,02-508-1193,37.4694635060301,127.040825131053
70,서울특별시,우면119안전센터,서울특별시 서초구 남부순환로340길 49 (서초동),02-6981-5995,02-598-3063,37.479576332262,127.021885024707
71,서울특별시,잠원119안전센터,서울특별시 서초구 서초중앙로29길 6 (반포동),02-6981-5990,02-594-3119,37.4990716329324,127.011600589722
72,서울특별시,금호119안전센터,서울특별시 성동구 난계로 19 (금호동1가),02-2622-1771,02-2622-1779,37.5540068802159,127.024208560228
73,서울특별시,성수119안전센터,서울특별시 성동구 뚝섬로 452 (성수동2가),02-2622-1751,02-2622-1759,37.537176455916,127.060654486737
74,서울특별시,왕십리119안전센터,서울특별시 성동구 고산자로 249 (도선동),02-2622-1761,02-2622-1769,37.5620751604551,127.035492497636
75,서울특별시,행당119안전센터,서울특별시 성동구 살곶이길 331(행당동),02-2622-1740,02-2622-1749,37.5538788610456,127.039519760538
76,서울특별시,길음119안전센터,서울특별시 성북구 정릉로 321 (길음동),02-6981-7372,02-2187-8208,37.6028230300214,127.019209084913
77,서울특별시,돈암119안전센터,서울특별시 성북구 보문로 192 (삼선동4가),02-6981-7361,02-2187-8207,37.590987927928,127.014439292796
78,서울특별시,장위119안전센터,서울특별시 성북구 한천로 662-8 (장위동),02-6981-7383,02-2187-8209,37.617439356274,127.057046936482
79,서울특별시,종암119안전센터,서울특별시 성북구 종암로 27길 3 (종암동),02-6981-7351,02-2187-8205,37.6024395812855,127.031685812902
80,서울특별시,가락119안전센터,서울특별시 송파구 양재대로 932 (가락동),02-6981-5395,02-406-1084,37.4945376921828,127.108713599026
81,서울특별시,거여119안전센터,서울특별시 송파구 마천로 329 (마천동),02-6981-5362,02-404-7119,37.4941931619877,127.151840868261
82,서울특별시,마천119안전센터,서울특별시 송파구 오금로51길 56 (마천동),02-6981-5343,02-3401-3119,37.4998334512085,127.142591860451
83,서울특별시,방이119안전센터,서울특별시 송파구 강동대로 286 (방이동),02-6981-5372,02-409-8119,37.519784557048,127.136571935167
84,서울특별시,잠실119안전센터,서울특별시 송파구 석촌호수로 151 (잠실동),02-6981-5379,02-3431-2415,37.5073165698743,127.093892988329
85,서울특별시,종합운동장119안전센터,서울특별시 송파구 올림픽로 25 (잠실동),02-6981-5387,02-417-0119,37.5161987797456,127.075940589715
86,서울특별시,목동119안전센터,서울특별시 양천구 안양천로 1139 (목동),02-6981-8765,02-2644-4727,37.5427783009136,126.883552801526
87,서울특별시,신월119안전센터,서울특별시 양천구 남부순환로 448 (신월동),02-6981-8790,02-2691-4189,37.527925585812,126.833084887826
88,서울특별시,신정119안전센터,서울특별시 양천구 신월로 268 (신정동),02-6981-8760,02-2601-0112,37.5217756482988,126.850955859801
89,서울특별시,신트리119안전센터,서울특별시 양천구 신정로 238 (신정동),02-6981-8795,02-2691-1134,37.5106105096518,126.84798529112
90,서울특별시,양천119안전센터,서울특별시 양천구 목동서로 180 (목동),02-6981-8750,02-2651-6119,37.5302359667761,126.872342277813
91,서울특별시,당산119안전센터,서울특별시 영등포구 양평로 70-1 (당산동6가),02-2633-0119,02-2672-7118,37.5354973829456,126.899192700249
92,서울특별시,대림119안전센터,서울특별시 영등포구 도림로 212 (신길동),02-846-0119,02-831-0119,37.4973134949082,126.904060701993
93,서울특별시,신길119안전센터,서울특별시 영등포구 영등포로84길 31 (신길동),02-841-0119,02-834-0119,37.5104280770526,126.922193363902
94,서울특별시,여의도119안전센터,서울특별시 영등포구 의사당대로 162 (여의도동),02-783-0119,02-785-1191,37.5172246813066,126.927973753551
95,서울특별시,영등포119안전센터,서울특별시 영등포구 문래로 197 (영등포동4가),02-6981-7150,02-6981-7170,37.5184389128995,126.904188745933
96,서울특별시,서빙고119안전센터,서울특별시 용산구 서빙고로67길 7 (서빙고동),02-6943-1570,02-796-1197,37.5208326196955,126.995010003972
97,서울특별시,이촌119안전센터,서울특별시 용산구 이촌로2가길 1 (이촌동),02-6943-1560,02-712-0119,37.5300531370846,126.953423122186
98,서울특별시,이태원119안전센터,서울특별시 용산구 이태원로 196 (이태원동),02-6943-1540,02-798-0119,37.5343799350815,126.995806522873
99,서울특별시,한강로119안전센터,서울특별시 용산구 한강대로 167 (한강로2가),02-6943-1520,02-792-5117,37.5341074431998,126.971506544727
100,서울특별시,후암119안전센터,서울특별시 용산구 후암로 34 (후암동),02-6943-1550,02-773-1179,37.548930436814,126.977888643401
101,서울특별시,녹번119안전센터,서울특별시 은평구 은평로 245 (녹번동),02-6981-6171,02-382-0667,37.6011049837261,126.935146145667
102,서울특별시,수색119안전센터,서울특별시 은평구 수색로 320 (수색동),02-6981-6191,02-307-0041,37.5852677029786,126.889905679045
103,서울특별시,역촌119안전센터,서울특별시 은평구 갈현로 80 (역촌동),02-6981-6181,02-356-0674,37.6049907333044,126.910669577673
104,서울특별시,진관119안전센터,서울특별시 은평구 통일로 962 (진관동),02-6981-6151,02-389-0674,37.6287565171839,126.919788062767
105,서울특별시,세종로119안전센터,서울특별시 종로구 율곡로 78(운니동),02-734-0119,02-723-8119,37.5768173425423,126.987649258831
106,서울특별시,숭인119안전센터,서울특별시 종로구 숭인동길 63 (숭인동),02-929-0921,02-929-5289,37.5777636587545,127.021706560708
107,서울특별시,신교119안전센터,서울특별시 종로구 자하문로 93 (신교동),02-737-8119,02-736-0119,37.5842789170648,126.970027499987
108,서울특별시,신영119안전센터,서울특별시 종로구 진흥로 477 (신영동),02-391-0119,02-395-2119,37.6057957808925,126.960846444543
109,서울특별시,연건119안전센터,서울특별시 종로구 대학로 91 (연건동),02-747-8119,02-762-0119,37.5794142791836,127.001835354449
110,서울특별시,종로119안전센터,서울특별시 종로구 돈화문로 30 (묘동),02-747-7119,02-764-0119,37.5712662536965,126.992233420661
111,서울특별시,망우119안전센터,서울특별시 중랑구 용마산로 524 (망우동),02-6981-8972,02-432-0119,37.5977258343186,127.100571864346
112,서울특별시,면목119안전센터,서울특별시 중랑구 동일로 475 (면목동),02-6981-8962,02-435-0119,37.5728233444034,127.079878532438
113,서울특별시,신내119안전센터,서울특별시 중랑구 신내로 183 (신내동),02-6981-8850,02-3422-1195,37.6153857016411,127.09488645434
114,서울특별시,중화119안전센터,서울특별시 중랑구 동일로 783 (중화동),02-6981-8982,02-2207-0119,37.600460399449,127.079334389398
115,서울특별시,무학119안전센터,서울특별시 중구 퇴계로 394(무학동),02-6981-0159,02-2237-0693,37.5648664558126,127.015378573704
116,서울특별시,신당119안전센터,서울특별시 중구 다산로8길 2 (신당동),02-6981-0199,02-2254-0119,37.5529259688215,127.009640800452
117,서울특별시,을지로119안전센터,서울특별시 중구 을지로45길 43 (신당동),02-6981-0175,02-2235-0698,37.566728573095,127.012025690221
118,서울특별시,충무로119안전센터,서울특별시 중구 충무로 11 (충무로3가),02-6981-0183,02-2285-1122,37.5621562365797,126.992912675198
119,서울특별시,회현119안전센터,서울특별시 중구 소공로 30 (회현동2가),02-6981-0191,02-753-0119,37.558208190069,126.983364600162
120,부산광역시,강동119안전센터,부산광역시 강서구 제도로 696(강동동),051-760-6042,051-760-6049,35.174774219279,128.916034605218
121,부산광역시,녹산119안전센터,부산광역시 강서구 녹산산단361로 9(송정동),051-760-6012,051-760-6019,35.0895965953527,128.856793762837
122,부산광역시,대저119안전센터,부산광역시 강서구 대저로221번길 25(대저1동),051-760-6032,051-760-6039,35.2156902542779,128.976877727806
123,부산광역시,신호119안전센터,부산광역시 강서구 신호산단4로 62(신호동),051-760-6022,051-760-6029,35.0854810216802,128.879555042648
124,부산광역시,지사119안전센터,부산광역시 강서구 과학산단로333번길 3(지사동),051-760-6053,051-760-6059,35.1485997843036,128.833204957391
125,부산광역시,남산119안전센터,부산광역시 금정구 두실로 46(남산동),051-760-6732,051-760-6739,35.2614284381626,129.086884619266
126,부산광역시,부곡119안전센터,부산광역시 금정구 중앙대로 1789(부곡동),051-760-6711,051-760-6719,35.2438809711478,129.092379154968
127,부산광역시,산성119안전센터,부산광역시 금정구 산성로 396(금성동),051-760-6752,051-760-6759,35.2510570365821,129.050916427357
128,부산광역시,서동119안전센터,부산광역시 동래구 반송로 331(명장동),051-760-6723,051-760-6729,35.2090301504975,129.103304301676
129,부산광역시,회동119안전센터,부산광역시 금정구 개좌로 286(회동동),051-760-6742,051-760-6749,35.2332963545703,129.127795966261
130,부산광역시,송정119안전센터,부산광역시 해운대구 송정중앙로15번길 16(송정동),051-760-5432,051-760-5439,35.183814521768,129.203028497643
131,부산광역시,일광119안전센터,부산광역시 기장군 일광읍 해빛5로 15,051-760-5422,051-760-5429,35.260850864805,129.221015424037
132,부산광역시,장안119안전센터,부산광역시 기장군 기장읍 길천3길 11,051-760-5442,051-760-5449,,
133,부산광역시,정관119안전센터,부산광역시 기장군 정관읍 용수로 7(정관읍),051-760-5412,051-760-5419,35.3248180735465,129.179899715251
134,부산광역시,감만119안전센터,부산광역시 남구 우암로 81(감만동),051-760-6822,051-760-6829,35.1177173779452,129.080532673297
135,부산광역시,광안119안전센터,부산광역시 수영구 광일로 64(광안동),051-760-6812,051-760-6819,35.163161521483,129.107041710548
136,부산광역시,대연119안전센터,부산광역시 남구 수영로 279(대연동),051-760-6832,051-760-6839,35.1362203592161,129.097028770099
137,부산광역시,망미119안전센터,부산광역시 수영구 연수로 330(망미동),051-760-6842,051-760-6849,35.1717912061164,129.106488392905
138,부산광역시,용당119안전센터,부산광역시 남구 신선로 398(용당동),051-760-6852,051-760-6859,35.1206557323299,129.098631395708
139,부산광역시,사직119안전센터,부산광역시 동래구 체육공원로 74(사직동),051-760-6352,051-760-6359,35.1946573464887,129.059243506078
140,부산광역시,수안119안전센터,부산광역시 동래구 명륜로45번길 7(수안동),051-760-6322,051-760-6329,35.1981511198489,129.083813837728
141,부산광역시,양정119안전센터,부산광역시 부산진구 연수로 44(양정동),051-760-6342,051-760-6349,,
142,부산광역시,연산119안전센터,부산광역시 연제구 고분로 216(연산동),051-760-6312,051-760-6319,35.1834432601063,129.105747814753
143,부산광역시,온천119안전센터,부산광역시 동래구 우장춘로 196(온천동),051-760-6332,051-760-6339,35.2232660918938,129.077735186171
144,부산광역시,가야119안전센터,부산광역시 부산진구 가야대로 627(가야동),051-760-6241,051-760-6249,35.1557502150966,129.040389978536
145,부산광역시,당감119안전센터,부산광역시 부산진구 백양산로53번길 65(당감동),051-760-6261,051-760-6269,35.17168920814,129.028526167136
146,부산광역시,범일119안전센터,부산광역시 동구 범일로 115(범일동),051-760-6221,051-760-6229,35.1404322853997,129.059044441256
147,부산광역시,부암119안전센터,부산광역시 부산진구 신천대로 282(부암동),051-760-6251,051-760-6259,35.1669035794401,129.050728551944
148,부산광역시,부전119안전센터,부산광역시 부산진구 서전로 43(전포동),051-760-6211,051-760-6219,35.1580729998094,129.064634532602
149,부산광역시,수정119안전센터,부산광역시 동구 중앙대로 383-1(수정동),051-760-6231,051-760-6239,35.1296131943422,129.049215544755
150,부산광역시,안창119안전센터,부산광역시 동구 안창로 62(범일동),051-760-6271,051-760-6279,35.1460277441636,129.041756814054
151,부산광역시,구포119안전센터,부산광역시 북구 만덕대로 31(덕천동),051-760-5322,051-760-5329,35.2111460677691,129.008363744595
152,부산광역시,금곡119안전센터, 부산광역시 북구 금곡대로 680(금곡동),051-760-5312,051-760-5319,35.2673366251808,129.017616906705
153,부산광역시,만덕119안전센터,부산광역시 북구 함박봉로 142(만덕동),051-760-5342,051-760-5349,35.2048093141871,129.033189188531
154,부산광역시,화명119안전센터,부산광역시 북구 금곡대로 184(화명동),051-760-5332,051-760-5339,35.2252697756132,129.010309958729
155,부산광역시,감전119안전센터,부산광역시 사상구 가야대로 41(감전동),051-760-6422,051-760-6429,35.1518619673133,128.97739115958
156,부산광역시,모라119안전센터,부산광역시 사상구 백양대로 950(모라동),051-760-6472,051-760-6479,35.1909680168481,128.992260751295
157,부산광역시,삼락119안전센터,부산광역시 사상구 삼덕로 17(삼락동),051-760-6412,051-760-6419,35.1745524643018,128.978757216516
158,부산광역시,주례119안전센터,부산광역시 사상구 양지로22(주례동),051-760-6462,015-760-6469,35.1538873252755,129.004143131743
159,부산광역시,학장119안전센터,부산광역시 사상구 학감대로 89(학장동),051-760-6482,051-760-6489,35.1396785582034,128.990454486897
160,부산광역시,감천119안전센터,부산광역시 사하구 원양로 405(감천동),051-760-6552,051-760-6559,35.0863013563412,129.004796449761
161,부산광역시,괴정119안전센터,부산광역시 사하구 낙동대로 262(괴정동),051-760-6522,051-760-6529,35.0994211596906,128.988382534008
162,부산광역시,다대119안전센터,부산광역시 사하구 다대로 622(다대동),051-760-6542,051-760-6549,35.0511794178346,128.970370157716
163,부산광역시,신평119안전센터,부산광역시 사하구 장평로 270(신평동),051-760-6512,051-760-6519,35.0906373939267,128.973412192705
164,부산광역시,하단119안전센터,부산광역시 사하구 낙동남로 1407(하단동),051-760-6532,051-760-6539,35.1065237297469,128.965590720102
165,부산광역시,부민119안전센터,부산광역시 서구 임시수도기념로 21-4(부민동3가),051-760-6124,051-760-6129,35.1032296520266,129.01859290874
166,부산광역시,중앙119안전센터,부산광역시 중구 중앙대로 110(중앙동4가),051-760-6112,051-760-6119,35.1071098042428,129.036729805709
167,부산광역시,창선119안전센터,부산광역시 중구 대청로 68-1(부평동1가),051-760-6142,051-760-6149,35.1028480957045,129.027344019637
168,부산광역시,초량119안전센터,부산광역시 동구 중앙대로 260번길 7(초량동),051-760-6152,051-760-6159,35.1197972849571,129.043208353802
169,부산광역시,충무119안전센터,부산광역시 서구 충무대로 186(남부민동),051-760-6131,051-760-6139,35.0871102237157,129.024782788649
170,부산광역시,동삼119안전센터,부산광역시 영도구 해양로 297(동삼동),051-760-6912,051-760-6919,35.0817880955564,129.076863835442
171,부산광역시,부두119안전센터,부산광역시 동구 충장대로 286(좌천동),051-760-6932,051-760-6939,35.125622611275,129.052236034558
172,부산광역시,영선119안전센터,부산광역시 영도구 태종로 115(영선동1가),051-760-6922,051-760-6929,35.0912675679499,129.043382325231
173,부산광역시,청학119안전센터,부산광역시 영도구 태종로 274(청학동),051-760-6942,051-760-6949,35.0981458827609,129.056583424962
174,부산광역시,반송119안전센터,부산광역시 해운대구 아랫반송로 10,051-760-6662,051-760-6669,35.2253819284519,129.146991933939
175,부산광역시,반여119안전센터,부산광역시 해운대구 선수촌로 21번길 64(반여동),051-760-6632,051-760-6639,35.1974075682399,129.117843919825
176,부산광역시,센텀119안전센터,부산광역시 해운대구 센텀동로 50(우동),051-760-6652,051-760-6659,35.1737605321549,129.130799084319
177,부산광역시,우동119안전센터,부산광역시 해운대구 해운대해변로 106(우동),051-760-6612,051-760-6619,35.1595604978668,129.143703445807
178,부산광역시,좌동119안전센터,부산광역시 해운대구 대천로67번길 35(좌동),051-760-6642,051-760-6649,35.1736463536188,129.166472141693
179,부산광역시,중동119안전센터,부산광역시 해운대구 달맞이길 117번길 72(중동),051-760-6622,051-760-6629,35.1606827424106,129.175850286031
180,대구광역시,구암119안전센터,대구광역시 북구 구암서로 71,053-607-5931,053-609-5939,35.9428055306783,128.565726748009
181,대구광역시,군위119안전센터,대구광역시 군위군 군위읍 군위공단길 65,053-607-5981,,36.2075881571625,128.560416766844
182,대구광역시,금호119안전센터,대구광역시 북구 한강로 105,053-607-5882,053-314-0119,35.8961757818337,128.521380921734
183,대구광역시,무태119안전센터,대구광역시 북구 호국로43길 21,053-607-5961,053-952-2119,35.9209290885842,128.596895399219
184,대구광역시,읍내119안전센터,대구광역시 북구 칠곡중앙대로 570,053-607-5941,053-321-0119,35.9464232560504,128.551550685255
185,대구광역시,의흥119안전센터,대구광역시 군위군 의흥면 읍내길 23,053-607-5991,,36.1767135338072,128.713966295945
186,대구광역시,태전119안전센터,대구광역시 북구 칠곡중앙대로 184,053-607-5951,053-312-0119,35.9123518748603,128.54884110844
187,대구광역시,다사119안전센터,대구광역시 달성군 다사읍 달구벌대로 920,053-601-5621,053-587-4119,35.8554228156061,128.467426171603
188,대구광역시,대천119안전센터,대구광역시 달서구 달서대로58길 129,053-601-5650,053-584-0120,35.8249532512934,128.506745953201
189,대구광역시,매곡119안전센터,대구광역시 달성군 다사읍 달구벌대로 753,053-601-5661,053-591-0119,35.861159614124,128.454198592999
190,대구광역시,성서119안전센터,대구광역시 달서구 성서로 357,053-601-5631,053-583-0120,35.849528790101,128.506866476862
191,대구광역시,도원119안전센터,대구광역시 달서구 도원로 8,053-607-2970,053-636-8110,35.8090060720396,128.535628122043
192,대구광역시,본리119안전센터,대구광역시 달서구 대명천로 134,053-607-2950,053-625-0119,35.8396910460472,128.545087338814
193,대구광역시,송현119안전센터,대구광역시 달서구 월배로 262,053-607-2960,053-632-1990,35.8200239685594,128.542027763004
194,대구광역시,월성119안전센터,대구광역시 달서구 학산로 75,053-607-2930,053-635-0228,35.8310595731462,128.534732158566
195,대구광역시,죽전119안전센터,대구광역시 달서구 와룡로 222,053-607-2990,053-563-0120,35.8525959576037,128.537639496198
196,대구광역시,구지119안전센터,대구광역시 달성군 구지면 달성2차로 111,053-602-4970,053-611-1197,35.6400521416582,128.418980346813
197,대구광역시,논공119안전센터,대구광역시 달성군 논공읍 논공중앙로33길 5,053-602-4950,053-615-6119,35.7301021498426,128.45301393138
198,대구광역시,옥포119안전센터,대구광역시 달성군 옥포읍 돌미로 93,053-602-4980,053-615-9195,35.7813948501566,128.443880018482
199,대구광역시,현풍119안전센터,대구광역시 달성군 현풍읍 비슬로 480,053-602-4930,053-670-5426,35.6824958990577,128.44694626899
200,대구광역시,화원119안전센터,대구광역시 달성군 화원읍 화암로 122,053-602-4960,053-639-2119,35.7987791076404,128.501658095844
201,대구광역시,공산119안전센터,대구광역시 동구 팔공산로 1579,053-605-5361,053-982-5119,35.9627707255417,128.697731684738
202,대구광역시,동촌119안전센터,대구광역시 동구 해동로 180,053-605-5331,053-985-9119,35.8867095397556,128.648443985747
203,대구광역시,불로119안전센터,대구광역시 동구 팔공로50길 19,053-605-5351,053-982-6119,35.9219950386844,128.64394213613
204,대구광역시,신천119안전센터,대구광역시 동구 동대구로 507,053-605-5321,053-755-3119,35.8759869614137,128.625222806232
205,대구광역시,안심119안전센터,대구광역시 동구 매여로 102,053-605-5341,053-961-4119,35.8890622825382,128.708495404485
